,!CUST,NAME,REFNUM,TIMESTAMP,BADDR1,BADDR2,BADDR3,BADDR4,BADDR5,SADDR1,SADDR2,SADDR3,SADDR4,SADDR5,PHONE1,PHONE2,FAXNUM,EMAIL,NOTE,CONT1,CONT2,CTYPE,TERMS,TAXABLE,SALESTAXCODE,LIMIT,RESALENUM,REP,TAXITEM,NOTEPAD,SALUTATION,COMPANYNAME,FIRSTNAME,MIDINIT,LASTNAME,CUSTFLD1,CUSTFLD2,CUSTFLD3,CUSTFLD4,CUSTFLD5,CUSTFLD6,CUSTFLD7,CUSTFLD8,CUSTFLD9,CUSTFLD10,CUSTFLD11,CUSTFLD12,CUSTFLD13,CUSTFLD14,CUSTFLD15,JOBDESC,JOBTYPE,JOBSTATUS,JOBSTART,JOBPROJEND,JOBEND,HIDDEN,DELCOUNT,PRICELEVEL
0,CUST,Adam's Candy Shop,110,1197764528,Adam's Candy Shop,Adam Bradley,1528 Kitty Bang Bang St.,"Fudge, CA 94555",,Adam's Candy Shop,Adam Bradley,1528 Kitty Bang Bang St.,"Fudge, CA 94555",,707 555 5734,,,,,Adam Bradley,,,,Y,Tax,,,,"County, San Thomas",,Mr.,Adam's Candy Shop,Adam,,Bradley,,,,,,,,,,,,,,,,,,0,,,,N,1,
1,CUST,"Andres, Cristina",60,1071505142,Cristina Andres,4242 Cypress Hill Rd,Bayshore CA 94326,,,,,,,,415-555-2174,,,cristina@samplename.com,,Cristina Andres,,Residential,2% 10 Net 30,Y,Tax,,,,San Domingo,,,,Cristina,,Andres,,,,,,,,,,,,,,,,,,0,,,,N,0,
2,CUST,"Balak, Mike",61,1071505403,Mike Balak,1800 Appleseed Ct,Bayshore CA 94326,,,,,,,,415-555-6453,415-555-6453,none,mbalak@samplename.com,,Mike Balak,,Residential,Net 30,Y,Tax,,,,San Domingo,,,,Mike,,Balak,,,,,,,,,,,,,,,,,,0,,,,N,0,
3,CUST,"Balak, Mike:330 Main St",98,1071512937,Mike Balak,1800 Appleseed Ct,Bayshore CA 94326,,,Mike Balak,"Hair, Nails and Supply",330 Main St,Bayshore CA  94326,,415-555-6453,415-555-6453,none,,,Mike Balak,,Residential,Net 30,N,,,,,San Domingo,,,"Hair, Nails and Supply",Mike,,Balak,,,,,,,,,,,,,,,,,,0,,,,N,0,
4,CUST,"Balak, Mike:Residential",97,1071512668,Mike Balak,1800 Appleseed Ct,Bayshore CA 94326,,,,,,,,415-555-6453,415-555-6453,none,,,Mike Balak,,Residential,Net 30,N,,,,,San Domingo,,,,Mike,,Balak,,,,,,,,,,,,,,,,,,0,,,,N,0,
5,CUST,"Blackwell, Edward",59,1071505048,Wild Garden Restaurant,Edward Blackwell,431 Hampshire Blvd,Bayshore CA 94326,,,,,,,415-555-3221,,,eblackwell@samplename.com,,Edward Blackwell,Chris Baker,Commercial,Due on receipt,Y,Tax,,,,San Domingo,,,Wild Garden Restaurant,Edward,,Blackwell,,,,,,,,,,,,,,,,,,0,,,,N,0,
6,CUST,"Chapman, Natalie",82,1071508459,Natalie Chapman,429 Silverbell Ave,East Bayshore CA  94327,,,,,,,,415-555-3232,,,natalie@samplename.com,,Natalie Chapman,,Residential,Net 15,Y,Tax,,,,"County, San Thomas",,,,Natalie,,Chapman,,,,,,,,,,,,,,,,,,0,,,,N,0,
7,CUST,"Cheknis, Benjamin",58,1071504322,E. Benjamin Cheknis,431 Wyatt Ave,East Bayshore CA 98727,,,,,,,,415-555-4356,none,none,benc@samplename.com,,Benjamin Cheknis,,Residential,Net 30,Y,Tax,,,,San Domingo,,,,Benjamin,,Cheknis,,,,,,,,,,,,,,,,,,0,,,,N,0,
8,CUST,"Corcoran, Carol",83,1071508507,Carol Corcoran,7521 W. Vista Del Mar,Middlefield CA 98727,,,,,,,,415-555-8825,,,carolc@samplename.com,,Carol Corcoran,,Residential,Net 30,Y,Tax,,,,"County, San Thomas",,,,Carol,,Corcoran,,,,,,,,,,,,,,,,,,0,,,,N,0,
9,CUST,"Crenshaw, Bob",6,934380929,Bob Crenshaw,345 Cherry Lane,"Middlefield, CA 94482",,,,,,,,415-555-2248,415-555-0220,N/A,,R3060255,Bob or Carol,Bob's Cellular,Commercial,Net 30,Y,Tax,,,,San Thomas Group,,,Scrounger's Auto,Bob,,Crenshaw,Carol,5/11,,,,,,,,,,,,,,,,0,,,,N,0,
10,CUST,"Crider, Craig",7,934380929,Crider's Critters,300 Main Street,"Bayshore, CA 94326",,,,,,,,415-555-8900,415-555-6711,,ccrider@samplename.com,,Craig Crider,,Residential,Net 30,Y,Tax,,,,San Domingo,,,Crider's Ciritters,Craig,,Crider,Ronnie,10/20,,,,,,,,,,,,,,,,0,,,,N,0,
11,CUST,DJ's Computers,105,1071524906,Computer Services by DJ,101 Bayshore Blvd.,Bayshore CA 94326,,,Computer Services by DJ,101 Bayshore Blvd.,Bayshore CA 94326,,,415-555-1515,,415-555-1510,DJ@samplename.com,,Donald Kucsmas,,Commercial,Net 60,Y,Tax,,,,"County, San Thomas",,,Computer Services by DJ,,,,,,,,,,,,,,,,,,,,,0,,,,N,0,
