,!VEND,NAME,REFNUM,TIMESTAMP,PRINTAS,ADDR1,ADDR2,ADDR3,ADDR4,ADDR5,VTYPE,CONT1,CONT2,PHONE1,PHONE2,FAXNUM,EMAIL,NOTE,TAXID,LIMIT,TERMS,NOTEPAD,SALUTATION,COMPANYNAME,FIRSTNAME,MIDINIT,LASTNAME,CUSTFLD1,CUSTFLD2,CUSTFLD3,CUSTFLD4,CUSTFLD5,CUSTFLD6,CUSTFLD7,CUSTFLD8,CUSTFLD9,CUSTFLD10,CUSTFLD11,CUSTFLD12,CUSTFLD13,CUSTFLD14,CUSTFLD15,1099,HIDDEN,DELCOUNT
0,VEND,Bank of Anycity,111,1197742736,Bank of Anycity,Bank of Anycity,Lisa Holzhauser,1935 Main Street,"Middlefield, CA 94482",,,Lisa Holzhauser,,415-555-9135,,415-555-9153,lisah@samplename.com,,,,,,,Bank of Anycity,Lisa,,Holzhauser,,,,,,,,,,,,,,,,N,N,0
1,VEND,Bayshore CalOil Service,22,934380929,Bayshore CalOil Service,Bayshore CalOil Service,771 S. Larimore,"Bayshore, CA 98323",,,,Kurt Rutherford,,415-555-7378,,,,12260-98765,,,,,,Bayshore CalOil Service,,,,,,,N/A,,,,,,,,,,,,N,N,0
2,VEND,Bayshore Water,23,934380929,,Bayshore Water,P.O. Box 61,Bayshore CA 94326,,,Utilities,,,415-555-0111,,,,370C-99336622,,,Net 15,,,,,,,,,,,,,,,,,,,,,,N,N,0
3,VEND,Brown Equipment Rental,24,934380929,,Brown Equipment Rental,33 Old Bayshore Rd,Bayshore CA 94326,,,Equipment,Sylvester Brown,,415-555-2366,,415-555-2367,,,,,Net 15,,,,,,,,,,5%,,,,,,,,,,,,N,N,0
4,VEND,Cal Gas & Electric,25,934380929,,Cal Gas & Electric,P.O. Box 5037,Middlefield CA 94482,,,,,,415-555-0202,,,,769369-370R,,,Net 15,,,,,,,,,,,,,,,,,,,,,,N,N,0
5,VEND,Cal Telephone,26,934380929,,Cal Telephone,P.O. Box 1100,Middlefield CA 94482,,,,,,415-555-5555,,,,415-555-9876-8053,,,Net 30,,,,,,,,,,,,,,,,,,,,,,N,N,0
6,VEND,CalOil Company,27,934380929,,CalOil Company,PO Box 628,Middlefield CA 94482,,,,,,800-555-7896,,,,98-4567-432,,,Net 15,,,,,,,,,,,,,,,,,,,,,,N,N,0
7,VEND,"Campion, Patrick, CPA",28,934380929,Patrick Campion,"Patrick Campion, CPA",200 Royal Rd,Bayshore CA 94326,,,Consultant,,Warner Onstine,415-555-2381,,415-555-2382,,89-P,,,Net 30,,,,Patrick,,Campion,,,,,,,,,,,,,,,,N,N,0
8,VEND,Chris Markley,29,934380929,,Chris Markley,610 W. Bush St.,Apt 201,Middlefield CA 94482,,Subcontractors,Chris Markley,,415-555-0046,,,,12530,333-33-3334,,Net 30,,,,Chris,,Markley,,,,,,,,,,,,,,,,Y,N,0
9,VEND,City of Bayshore,30,934380929,,City of Bayshore,100 Main St,Bayshore CA 94326,,,,,,415-555-1000,,,,,,,Net 15,,,,,,,,,,,,,,,,,,,,,,N,N,0
10,VEND,City of Middlefield,31,934380929,,City of Middlefield,City Hall,P.O. Box 1,Middlefield CA 94482,,,,,415-555-8500,,,,MO-890k,,,Due on receipt,,,,,,,,,,,,,,,,,,,,,,N,N,0
11,VEND,Computer Services by DJ,32,934380929,Computer Services by DJ,Computer Services by DJ,101 Main St,Bayshore CA 94326,,,Consultant,Donald Kucsmas,,415-555-1515,,415-555-1510,DJ@samplename.com,1JK90,,,8% 30 Net 60,,,Computer Services by DJ,,,,,jeff@lennon.com,,,,,,,,,,,,,,N,N,0
12,VEND,Conner Garden Supplies,33,934380929,,Conner Garden Supplies,189 Old Bayshore Rd,"Bayshore, CA 94326",,,Materials,Evelyn,Scott Zufelt,415-555-2436,,,evec@samplename.com,R 594,,,,,,,Evelyn,,Conner,,,,,,,,,,,,,,,,N,N,0
13,VEND,Employment Development Department,5,934380929,,Employment Development Department,P.O. Box 123456,Sacramento CA 94280,,,,,,(916) 555-1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,0
14,VEND,Express Delivery Service,35,934380930,,Express Delivery Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,0
15,VEND,Great Statewide Bank,4,934380928,,Great Statewide Bank,P.O. Box 522,Bayshore CA 94326,,,,Cristina Jimenez,,415-555-2400,,,,,,,,,,,Cristina,,Jimenez,,,,,,,,,,,,,,,,N,N,0
